"SystemName","status","OperatingSystems","Audience","Category","Translations","ProgrammingLan","UserInterface","LastUpdate","License"
"Toggle show hidden files","Beta","windows","end-users-desktop","file-management","English","c#","non-interactive-(daemon)/win32-(ms-windows)","2015-11-04","gnu-general-public-license-version-3.0-(gplv3)"
"Usermin::Vacation","Beta","bsd/linux","system-administrators","systems-administration","English","perl","web-based","2013-02-21","gnu-general-public-license-version-2.0-(gplv2)"
"Virtual Dub German","Beta","windows","end-users-desktop","video","German","c++","win32-(ms-windows)","2013-02-25","gnu-general-public-license-version-2.0-(gplv2)"
"Voodoo Player","Beta","windows","end-users-desktop","display/usability","English/Russian","delphi-kylix","win32-(ms-windows)","2015-10-17","gnu-general-public-license-version-2.0-(gplv2)"
"Web Services Console Eclipse Plugin","Beta","linux/mac/windows","developers","code-generators/internet/interpreters/monitoring","English","java","win32-(ms-windows)/x-window-system-(x11)","2013-04-08","gnu-general-public-license-version-2.0-(gplv2)"
"Wiideo Center","Beta","windows","end-users-desktop","streaming/video-conversion/www-http","English","java/jsp","eclipse/java-swt/web-based","2019-02-09","gnu-general-public-license-version-2.0-(gplv2)"
"XDraft -- drawing and drafting program","Beta","bsd/linux","end-users-desktop","scientific-engineering/vector-based","English","c","gnome","2013-04-08","mit-license"
"bladedesigner","Alpha","linux/mac/windows","advanced-end-users/aerospace","computer-aided-technologies-(cadd-cam-cae)","English/German","python","qt","2014-08-06","gnu-general-public-license-version-3.0-(gplv3)"
"eKitaab - EBook Catalog Manager Software","Beta","linux/mac/windows","end-users-desktop","desktop-environment/library","English","java","java-swing","2013-04-17","gnu-general-public-license-version-2.0-(gplv2)"
"easyDesigner","Inactive","linux/mac/windows","developers","case/code-generators/database","English/German/Polish","java","java-swing","2015-08-07","gnu-general-public-license-version-2.0-(gplv2)"
"jSCSI","Alpha","linux/mac/windows","developers","distributed-computing/networking/storage","English","java","non-interactive-(daemon)","2013-04-24","bsd-license"
"krdesktop - KDE GUI for rdesktop","Alpha","bsd/linux","end-users-desktop/system-administrators","networking","English","unix-shell","kde","2013-03-13","gnu-general-public-license-version-2.0-(gplv2)"
"libvterm","Beta","linux","developers","terminal-emulators-x-terminals","English","c","console-terminal/curses-ncurses","2014-06-28","gnu-general-public-license-version-2.0-(gplv2)"
"matgts","Beta","bsd/linux/windows","end-users-desktop/science-research","scientific-engineering","English/Romanian","c/javascript","curses-ncurses/sdl","2015-12-01","gnu-general-public-license-version-2.0-(gplv2)/gnu-general-public-license-version-3.0-(gplv3)"
"metawatt","Beta","linux","science-research","bio-informatics","English","java","java-swing","2016-11-22","academic-free-license-(afl)"
"ntorrent - an rtorrent GUI","Inactive","linux/mac/windows","developers/end-users-desktop","bittorrent/desktop-environment/networking","English","java","java-awt/java-swing","2013-03-26","apache-license-v2.0/gnu-general-public-license-version-2.0-(gplv2)"
"nweb2fax","Beta","bsd/linux","end-users-desktop","fax","English","php","web-based","2013-03-22","gnu-general-public-license-version-2.0-(gplv2)"
"oSync","Inactive","linux/mac/windows","advanced-end-users/end-users-desktop/other-audience","browsers/file-transfer-protocol-(ftp)/storage","English","python","command-line/console-terminal/tk","2012-10-11","gnu-general-public-license-version-2.0-(gplv2)"
"osGraphX","Beta","linux/windows","developers/engineering","3d-rendering/data-formats/viewers","Czech/English/French/Italian","c++","qt","2013-07-19","gnu-general-public-license-version-2.0-(gplv2)"
"tkFP","Beta","bsd/linux/windows","developers/end-users-desktop","office-business/scientific-engineering","English/Spanish","tcl","win32-(ms-windows)/x-window-system-(x11)","2013-06-03","gnu-general-public-license-version-2.0-(gplv2)"
"uitags","Inactive","linux/mac/windows","developers","dynamic-content","English","java/javascript/jsp","web-based","2013-04-25","apache-license-v2.0"
"xBaK","Alpha","linux","end-users-desktop","role-playing","English","c++","sdl","2013-09-11","gnu-general-public-license-version-3.0-(gplv3)"
"xbcast, an X broadcast receiver program","Pre-Alpha","bsd/linux/mac","end-users-desktop","communications/desktop-environment/monitoring","English/Romanian","c","x-window-system-(x11)","2013-03-07","gnu-general-public-license-version-2.0-(gplv2)"
"CUBRID Cluster","Alpha","bsd/linux/windows","advanced-end-users/developers/information-technology/system-administrators","clustering/database-engines-servers","Chinese (Simplified)/English/Korean","c/c++/java","console-terminal","2016-09-07","bsd-license/gnu-general-public-license-version-2.0-(gplv2)"
"MSSQL to MySQL Exporter","Beta","windows","developers/system-administrators","database","English","c#","win32-(ms-windows)","2015-10-01","gnu-general-public-license-version-2.0-(gplv2)"
"MyRouter","Beta","windows","other-audience","wireless","Arabic/English","c#",".net-mono","2016-11-09","creative-commons-attribution-license"
"OpenTZT","Beta","windows","end-users-desktop/other-audience","video","English","c++","win32-(ms-windows)","2013-04-17","gnu-general-public-license-version-2.0-(gplv2)"
"WebMonX","Inactive","bsd/linux/windows","advanced-end-users/end-users-desktop/system-administrators","link-checking","English","c++","qt","2013-06-15","gnu-general-public-license-version-2.0-(gplv2)/gnu-general-public-license-version-3.0-(gplv3)"
"602SQL Open Server","Beta","bsd/linux/windows","advanced-end-users/developers","database-engines-servers/front-ends","Czech/English/Slovak","c++","gtk+/win32-(ms-windows)/wxwidgets","2013-04-01","gnu-library-or-lesser-general-public-license-version-2.0-(lgplv2)"
"ASP.NET Enterprise Manager","Alpha","windows","developers/end-users-desktop/system-administrators","front-ends","English","c#/visual-basic","web-based","2016-08-09","gnu-general-public-license-version-2.0-(gplv2)"
"Ambulatorio","Beta","linux/mac/windows","healthcare-industry","medical-healthcare","Italian","javascript/php","web-based","2018-04-01","gnu-general-public-license-version-3.0-(gplv3)"
"Analysis Console for Intrusion Databases","Beta","linux/mac/windows","system-administrators","monitoring/security","English","php","web-based","2013-04-11","gnu-general-public-license-version-2.0-(gplv2)"
"ApfLi","Beta","bsd/linux","end-users-desktop","file-sharing","German","c/c++","curses-ncurses","2013-04-17","gnu-general-public-license-version-2.0-(gplv2)"
"AppSet","Alpha","linux","end-users-desktop","installation-setup","Basque (Euskara)/Catalan/Chinese (Simplified)/Chinese (Traditional)/Dutch/English/French/German/Greek/Hungarian/Italian/Polish/Portuguese/Russian/Serbian/Spanish/Turkish","c++","qt","2013-04-24","gnu-general-public-license-version-2.0-(gplv2)"
"Arkanoid - Break the Bricks Game","Beta","bsd/linux/windows","end-users-desktop","side-scrolling-arcade-games","English","c/c++/unix-shell","sdl","2019-11-06","apache-license-v2.0"
"Astrosoft","Pre-Alpha","solaris/windows","developers/information-technology/science-research","astronomy","English/Tamil","java","java-swing","2014-03-28","gnu-general-public-license-version-2.0-(gplv2)"
"Audio Logger","Pre-Alpha","bsd/linux","advanced-end-users/non-profit-organizations/system-administrators","capture-recording/log-rotation","English","python","non-interactive-(daemon)","2013-04-11","gnu-general-public-license-version-2.0-(gplv2)"
"BASIC Stamp Tools for Linux","Beta","bsd/linux","education/end-users-desktop/science-research","compilers/education/hardware/scientific-engineering/serial","English","c/c++","command-line","2018-09-16","gnu-general-public-license-version-2.0-(gplv2)"
"BeboX MP : BeBox Multimedia Player","Beta","windows","developers/end-users-desktop","cd-playing/mp3/video","English","c++/visual-basic","win32-(ms-windows)","2015-11-24","gnu-general-public-license-version-2.0-(gplv2)"
"Bezier Curve Editor","Alpha","bsd/linux","developers/education/end-users-desktop/science-research","mathematics/vector-based","English","c++","x-window-system-(x11)","2013-03-08","gnu-general-public-license-version-2.0-(gplv2)"
"COMWiz","Beta","windows","advanced-end-users/developers","systems-administration","English","visual-basic","win32-(ms-windows)","2013-03-12","gnu-general-public-license-version-2.0-(gplv2)"
"ChartLyrics","Beta","windows","end-users-desktop","editors","English","c#","win32-(ms-windows)","2013-04-18","gnu-general-public-license-version-2.0-(gplv2)"
"Cisco IP Telephony Services","Beta","linux/mac/windows","information-technology/system-administrators/telecommunications-industry","dynamic-content/enterprise/internet-phone/telephony/xml","English","perl/php","web-based/win32-(ms-windows)","2015-08-03","gnu-general-public-license-version-2.0-(gplv2)/public-domain"
"Clipshare","Pre-Alpha","linux/mac/windows","developers/education","distributed-computing/file-sharing/office-business","Danish","c/c++","win32-(ms-windows)","2013-02-27","gnu-general-public-license-version-2.0-(gplv2)"
"Cloud Web Browser","Pre-Alpha","windows","advanced-end-users/developers/end-users-desktop","browsers","English/Finnish/Italian/Spanish","c#",".net-mono","2015-06-21","gnu-general-public-license-version-2.0-(gplv2)"
"Compiere MFG + SCM (Manufacturing)","Alpha","linux/mac/solaris/windows","developers/information-technology/manufacturing/system-administrators","distributed-computing/dynamic-content/erp/frameworks/human-machine-interfaces/visualization","English","java/javascript/jsp","eclipse/web-based","2013-05-12","gnu-general-public-license-version-2.0-(gplv2)"
"Conqueror Browser","Beta","linux/windows","end-users-desktop","browsers","English","visual-basic-.net",".net-mono","2014-04-23","gnu-general-public-license-version-3.0-(gplv3)"
"Continuous Screenshot","Pre-Alpha","bsd/linux/windows","end-users-desktop","screen-capture","English","c++","qt","2013-04-16","gnu-general-public-license-version-2.0-(gplv2)"
"Cordova Gui by GoHo","Beta","windows","developers/end-users-desktop","software-development/testing/usability","English","c#",".net-mono","2018-09-23","mit-license"
"CyberUnits","Beta","bsd/linux/mac/windows","education/science-research","bio-informatics/scientific-engineering/simulations","English","delphi-kylix/free-pascal/matlab/object-pascal/pascal","project-is-a-graphics-toolkit","2020-04-08","bsd-license"
"DMP Explorer","Beta","windows","healthcare-industry","other-nonlisted-topic","French","visual-basic-.net","win32-(ms-windows)","2013-04-02","gnu-library-or-lesser-general-public-license-version-2.0-(lgplv2)"
"DMZS-Biatchux Bootable CD Distro","Beta","bsd/linux/windows","developers/system-administrators","firewalls/security/systems-administration","English","c/unix-shell/visual-basic","win32-(ms-windows)/x-window-system-(x11)","2013-04-01","osi-approved-open-source/other-license"
"DbAdmin","Pre-Alpha","linux/mac/windows","information-technology","front-ends","English","c#",".net-mono","2016-07-23","gnu-general-public-license-version-2.0-(gplv2)"
"Dead Meat","Beta","bsd/linux/windows","end-users-desktop","side-scrolling-arcade-games","English","python","win32-(ms-windows)/x-window-system-(x11)","2013-05-30","gnu-general-public-license-version-3.0-(gplv3)"
"Delphi VNC Server","Pre-Alpha","windows","developers","terminals","English","delphi-kylix","win32-(ms-windows)","2014-03-29","gnu-library-or-lesser-general-public-license-version-2.0-(lgplv2)"
"DreamboxManagerSuiteE2","Beta","windows","end-users-desktop","file-transfer-protocol-(ftp)/video","English/German","c#","win32-(ms-windows)","2013-04-18","gnu-general-public-license-version-2.0-(gplv2)"
"Driveplugger","Beta","linux","advanced-end-users","storage","English","perl","gtk+","2016-07-29","gnu-general-public-license-version-2.0-(gplv2)"
"ENES : Emu Nova Entertainment System","Beta","linux/mac/windows","advanced-end-users/developers","interface-engine-protocol-translator","English/French","c++/java","java-swing","2013-03-25","gnu-general-public-license-version-2.0-(gplv2)"
"ESTScan","Beta","bsd/linux","advanced-end-users/science-research","bio-informatics","English","c","command-line","2018-11-19","other-license"
"Edonkey Links","Inactive","windows","end-users-desktop","file-sharing","French","delphi-kylix/object-pascal","console-terminal/win32-(ms-windows)","2014-06-09","gnu-general-public-license-version-2.0-(gplv2)"
"Emass","Beta","windows","customer-service/developers/management/non-profit-organizations","e-commerce---shopping/email/human-resources","English","c#",".net-mono","2020-01-22","mit-license"
"Erc programming language","Alpha","linux/mac/windows","developers","artificial-intelligence/compilers/documentation/interpreters/system-shells","English","c++/java","console-terminal/java-awt/java-swing/non-interactive-(daemon)/plugins/web-based","2016-07-26","gnu-general-public-license-version-2.0-(gplv2)"
"ExPo: Exchange Portal","Alpha","linux/mac","developers/education/end-users-desktop/financial-and-insurance-industry/science-research/testers","intelligent-agents","English","c/javascript","web-based","2016-02-06","gnu-general-public-license-version-3.0-(gplv3)"
"ExSyS","Pre-Alpha","linux/mac/windows","system-administrators","testing","English/Thai","php","web-based","2016-03-06","gnu-general-public-license-version-2.0-(gplv2)"
"Executor","Beta","windows","end-users-desktop","system","English/Russian","delphi-kylix","win32-(ms-windows)","2014-03-22","gnu-general-public-license-version-2.0-(gplv2)"
"Existence Engine","Beta","linux/windows","developers","first-person-shooters","English","c/c++","win32-(ms-windows)","2013-04-03","gnu-general-public-license-version-2.0-(gplv2)"
"FTP.NET","Alpha","windows","end-users-desktop/information-technology","file-transfer-protocol-(ftp)","English","c#","win32-(ms-windows)","2016-03-06","gnu-general-public-license-version-2.0-(gplv2)"
"FnFX - Toshiba ACPI Daemon for Linux","Abandoned","bsd/linux","end-users-desktop","hardware","English","c","x-window-system-(x11)","2015-01-31","gnu-general-public-license-version-2.0-(gplv2)"
"Fproxyadmin","Beta","linux","security-professionals/system-administrators","firewalls/security","Brazilian Portuguese","javascript/php","web-based","2013-08-05","gnu-general-public-license-version-2.0-(gplv2)"
"FreeBSD firewall module for webmin","Alpha","bsd/linux/mac","end-users-desktop/system-administrators","firewalls/internet/security/systems-administration","Dutch/English","perl","web-based","2013-02-27","gnu-general-public-license-version-2.0-(gplv2)"
"GBrowser","Beta","linux","advanced-end-users/end-users-desktop","file-management/terminal-emulators-x-terminals","English","c++","gtk+","2013-03-22","gnu-general-public-license-version-2.0-(gplv2)"
"GameDirector","Planning","windows","end-users-desktop","game-development-framework","English","c++","win32-(ms-windows)","2019-08-31","zlib-libpng-license"
"Geeboss (Graphic Effect Editor for BOSS)","Pre-Alpha","linux/mac/windows","end-users-desktop","editors/midi","English","java","java-swt","2013-03-08","gnu-general-public-license-version-2.0-(gplv2)"
"Gnome-Guitar","Beta","bsd/linux","end-users-desktop","other-nonlisted-topic","English","c","gnome","2017-12-02","gnu-general-public-license-version-2.0-(gplv2)"
"Hdot264 video codec","Pre-Alpha","linux/mac/windows","developers/science-research","video-conversion","English","assembly/c/c++","win32-(ms-windows)","2018-07-19","gnu-general-public-license-version-2.0-(gplv2)/gnu-library-or-lesser-general-public-license-version-2.0-(lgplv2)/mozilla-public-license-1.1-(mpl-1.1)"
"HuMuS","Pre-Alpha","linux","advanced-end-users/end-users-desktop","editors/midi/sound-synthesis","English","pascal","other-toolkit","2013-01-11","gnu-general-public-license-version-2.0-(gplv2)"
"IDEADA : An Eclipse ADA IDE ","Pre-Alpha","linux/windows","developers","software-development","English","java","java-swing","2014-10-13","eclipse-public-license/mozilla-public-license-1.1-(mpl-1.1)"
"InstallOptionsEx plug-in for NSIS","Beta","windows","developers/system-administrators","user-interfaces","English","c","win32-(ms-windows)","2016-08-27","zlib-libpng-license"
"JLoja","Beta","linux","developers/management","sales","Portuguese","jsp","web-based","2018-06-14","gnu-general-public-license-version-2.0-(gplv2)"
"JMathLib - Octave, Matlab clone in java","Beta","linux/mac/windows","developers/end-users-desktop","mathematics/simulations","English","java","java-awt","2013-06-03","gnu-general-public-license-version-2.0-(gplv2)/gnu-library-or-lesser-general-public-license-version-2.0-(lgplv2)"
"JMoney","Beta","linux/mac/windows","end-users-desktop","accounting","Brazilian Portuguese/English/German/Hungarian/Italian/Polish","java","win32-(ms-windows)/x-window-system-(x11)","2019-08-17","gnu-general-public-license-version-2.0-(gplv2)"
"Jabbin","Beta","android/linux/windows","advanced-end-users/developers/end-users-desktop","chat/voip","English/French/Spanish","c++","qt","2018-03-07","gnu-general-public-license-version-2.0-(gplv2)"
"Jigsaw","Inactive","linux/mac/windows","education","education/software-development","English","java","java-swing","2015-06-24","gnu-general-public-license-version-2.0-(gplv2)"
"Jrar","Alpha","bsd/linux/windows","end-users-desktop","compression","English","java","win32-(ms-windows)/x-window-system-(x11)","2013-05-22","gnu-general-public-license-version-2.0-(gplv2)"
"JsForum","Beta","linux/mac/windows","system-administrators","bbs","Dutch/English","java/javascript","web-based","2013-04-10","gnu-general-public-license-version-2.0-(gplv2)"
"KJabata: Scheduled sound player/recorder","Beta","bsd/linux","other-audience","sound-audio","Spanish","c++","kde","2013-06-04","gnu-general-public-license-version-2.0-(gplv2)"
"KeyCounter","Inactive","windows","advanced-end-users/end-users-desktop","logging","English","c#",".net-mono","2013-04-26","gnu-general-public-license-version-2.0-(gplv2)"
"Killer Instinct","Alpha","windows","developers/end-users-desktop/other-audience","side-scrolling-arcade-games","English/German","c#","win32-(ms-windows)","2013-09-22","gnu-general-public-license-version-2.0-(gplv2)"
"L2jDertin","Inactive","bsd/linux/mac/windows","developers","application-servers/compilers/database-engines-servers/real-time-strategy/xml","English/Spanish","java/python","console-terminal","2013-04-19","gnu-general-public-license-version-3.0-(gplv3)"
"Leto","Beta","bsd/linux/windows","end-users-desktop","role-playing","English","delphi-kylix","win32-(ms-windows)","2016-03-22","bsd-license/gnu-general-public-license-version-2.0-(gplv2)"
"Lights Out","Beta","linux/mac/windows","developers/end-users-desktop","puzzle-games","English","java","win32-(ms-windows)/x-window-system-(x11)","2013-02-20","gnu-general-public-license-version-2.0-(gplv2)"
"LinCommander","Alpha","bsd/linux","end-users-desktop","desktop-environment/filesystems","English/Russian","delphi-kylix/object-pascal","x-window-system-(x11)","2019-09-15","gnu-general-public-license-version-2.0-(gplv2)"
"Local Observations to Global Integration","Alpha","linux/mac/windows","education/end-users-desktop/engineering","genetic-algorithms","English/German","java","java-swing","2016-05-30","gnu-general-public-license-version-3.0-(gplv3)"
"MNTC USB Kulibin","Beta","windows","education/end-users-desktop/engineering","computer-aided-technologies-(cadd-cam-cae)","English/Russian","python/visual-basic-.net","win32-(ms-windows)","2015-02-08","creative-commons-attribution-license"
"Mantra on Chromium","Alpha","windows","developers/information-technology/other-audience/security-professionals/system-administrators","browsers/security","English/French/Spanish","c++/javascript","win32-(ms-windows)","2015-04-10","gnu-general-public-license-version-3.0-(gplv3)"
"Math Worksheet Generator","Beta","linux/mac/windows","education/end-users-desktop","testing","English","java","java-swing","2014-08-28","gnu-general-public-license-version-2.0-(gplv2)"
"Medusa - subtitling solutions","Alpha","windows","end-users-desktop","editors/text-editors/video","English/Italian","delphi-kylix","win32-(ms-windows)","2015-08-07","gnu-general-public-license-version-2.0-(gplv2)"
"Mingro","Alpha","bsd/linux/windows","developers","game-development-framework/games-entertainment/software-development","English","free-pascal/lazarus/object-pascal","allegro","15 hours ago","zlib-libpng-license"
"Moon Phase","Alpha","linux/windows","end-users-desktop","astronomy/desktop-environment","English","c/c++","qt/win32-(ms-windows)/x-window-system-(x11)","2017-01-23","gnu-general-public-license-version-3.0-(gplv3)"
"MoonPlanner","Beta","linux/mac/windows","agriculture/end-users-desktop/science-research","astronomy","English/Italian","java","java-swt","2015-06-25","gnu-general-public-license-version-3.0-(gplv3)"
"MusicBox","Pre-Alpha","bsd/linux","end-users-desktop","players","English","c","gnome","2013-02-27","gnu-general-public-license-version-2.0-(gplv2)"
"My Accounting","Planning","windows","end-users-desktop","accounting","English","visual-basic-.net","win32-(ms-windows)","2013-03-13","gnu-general-public-license-version-2.0-(gplv2)"
"MySQL Administrator","Beta","windows","end-users-desktop/system-administrators","database-engines-servers/front-ends","English/Polish","delphi-kylix","win32-(ms-windows)","2016-11-27","gnu-general-public-license-version-2.0-(gplv2)"
"NZB-O-MaticPlus","Beta","windows","end-users-desktop","communications/internet","English","c#","win32-(ms-windows)","2014-06-09","other-license"
"Napi Projekt Client","Beta","bsd/linux/mac/windows","advanced-end-users/developers/end-users-desktop","www-http","Polish","perl/unix-shell","command-line/console-terminal","2017-08-13","gnu-general-public-license-version-2.0-(gplv2)/public-domain"
"Netdude","Alpha","bsd/linux/mac","developers/system-administrators","networking/scientific-engineering","English","c","x-window-system-(x11)","2013-06-03","bsd-license"
"NtdIsp","Beta","bsd/linux/windows","automotive/developers/end-users-desktop/engineering/manufacturing","embedded-systems/hardware/serial","English","c","command-line/gnome/gtk+","2016-11-14","gnu-library-or-lesser-general-public-license-version-2.0-(lgplv2)"
"OSControl","Beta","windows","advanced-end-users/developers","sound-audio/video","English","c#",".net-mono","2015-08-07","gnu-general-public-license-version-3.0-(gplv3)"
"Omron Communication","Alpha","windows","developers/engineering/manufacturing/science-research","scada","English","visual-basic-.net","win32-(ms-windows)","2015-12-14","bsd-license"
"OpSim - Open Source Process Simulator","Planning","bsd/linux/mac/windows","developers/education/end-users-desktop/science-research","education/object-oriented/scientific-engineering","English","free-pascal/lazarus/object-pascal","cocoa-(macos-x)/win32-(ms-windows)/x-window-system-(x11)","2017-10-19","gnu-general-public-license-version-2.0-(gplv2)"
"Open Help Desk Tools","Planning","windows","security/security-professionals/system-administrators","systems-administration","English","c#",".net-mono","2016-10-03","gnu-general-public-license-version-3.0-(gplv3)"
"OpenDataCenter Network Management System","Beta","linux/mac/windows","information-technology/other-audience/system-administrators","networking","English/French","javascript/php","web-based","2015-08-06","gnu-general-public-license-version-2.0-(gplv2)"
"OpenPlot Tool","Alpha","linux/mac/windows","end-users-desktop","graphics/office-business","English","java","java-swing","2014-02-16","gnu-general-public-license-version-3.0-(gplv3)"
"OpenStreetMap Website Viewer","Beta","linux/mac/windows","end-users-desktop","mapping/social-bookmarking","English","java","java-swing","2018-10-31","gnu-general-public-license-version-2.0-(gplv2)/gnu-general-public-license-version-3.0-(gplv3)"
"Oracle Monitoring System","Beta","bsd/linux/solaris/windows","developers/other-audience/system-administrators","database-engines-servers/monitoring/symmetric-multi-processing","English","perl","win32-(ms-windows)","2013-02-25","gnu-general-public-license-version-2.0-(gplv2)"
"PC-Shell","Pre-Alpha","windows","end-users-desktop","desktop-environment/system-shells","English","visual-basic","win32-(ms-windows)","2013-03-14","public-domain"
"PHOEBE: PHysics Of Eclipsing Binaries","Beta","bsd/linux","developers/end-users-desktop/science-research","astronomy","English","c","gtk+/x-window-system-(x11)","2017-03-10","gnu-general-public-license-version-2.0-(gplv2)"
"PHP Ledger","Pre-Alpha","linux/mac/windows","end-users-desktop","personal-finance","Portuguese","php","web-based","2017-04-19","gnu-general-public-license-version-3.0-(gplv3)"
"PHPGEN","Beta","bsd/linux/mac/windows","developers/end-users-desktop","code-generators/frameworks","Chinese (Simplified)/English","php","web-based","2012-12-13","gnu-general-public-license-version-2.0-(gplv2)"
"Parsing Simulator","Pre-Alpha","windows","science-research","compilers/simulations","English/Hindi","java","java-swing","2013-04-10","academic-free-license-(afl)/gnu-general-public-license-version-2.0-(gplv2)"
"Pencil2D","Beta","bsd/linux/mac/windows","end-users-desktop/other-audience","animation","Brazilian Portuguese/Catalan/Czech/Danish/English/Estonian/French/German/Greek/Hebrew/Hungarian/Indonesian/Italian/Japanese/Polish/Portuguese/Russian/Slovene/Spanish/Vietnamese","c++","qt","6 days ago","gnu-general-public-license-version-2.0-(gplv2)"
"PixelValue","Beta","windows","developers/education/information-technology","design/html-xhtml/www-http","English","c++","console-terminal","2013-05-30","creative-commons-attribution-non-commercial-license-v2.0"
"PowerPAQ","Pre-Alpha","linux/windows","advanced-end-users/end-users-desktop/system-administrators","compression","English/Russian","c#","gnome/win32-(ms-windows)","2014-10-07","gnu-general-public-license-version-2.0-(gplv2)"
"Programming language KAREL","Beta","bsd/linux/windows","end-users-desktop","education/games-entertainment/interpreters","English","c++","win32-(ms-windows)/x-window-system-(x11)","2013-04-11","gnu-general-public-license-version-2.0-(gplv2)"
"PyPanel","Inactive","bsd/linux","end-users-desktop","desktop-environment","English","c/python","x-window-system-(x11)","2013-04-15","gnu-general-public-license-version-2.0-(gplv2)"
"QR Gen","Beta","bsd/linux/mac/windows","end-users-desktop","office-business","English","java","java-swing","2016-01-27","gnu-general-public-license-version-3.0-(gplv3)"
"RPCMiner 2013","Inactive","windows","advanced-end-users/financial-and-insurance-industry/other-audience/testers","cryptography/financial/other-nonlisted-topic","English","c++","non-interactive-(daemon)","2016-11-08","gnu-general-public-license-version-2.0-(gplv2)"
"Radar Software","Beta","bsd/linux","science-research","astronomy/information-analysis/visualization","English","c/c++/tcl","x-window-system-(x11)","2015-08-15","public-domain"
"Rcon Web Console","Beta","linux/mac/windows","end-users-desktop","first-person-shooters","English","php","web-based","2013-03-19","gnu-general-public-license-version-2.0-(gplv2)"
"Remote MySQL Viewer","Inactive","windows","end-users-desktop","front-ends","English","c#",".net-mono","2013-03-19","gnu-general-public-license-version-2.0-(gplv2)"
"RipOff","Beta","linux","end-users-desktop","cd-ripping","English","c","gtk+","2013-04-23","gnu-general-public-license-version-2.0-(gplv2)"
"RyA ERP","Beta","linux/mac/windows","developers/financial-and-insurance-industry","accounting/erp","Spanish","javascript/php",".net-mono","2015-12-02","creative-commons-attribution-license"
"SDL Asylum","Beta","bsd/linux/windows","end-users-desktop/government/other-audience","side-scrolling-arcade-games","English","c/c++","opengl/sdl","2013-05-02","gnu-general-public-license-version-3.0-(gplv3)"
"SQL*PlusPlus","Inactive","linux/mac/windows","developers","front-ends","English","java","web-based","2013-03-22","gnu-general-public-license-version-2.0-(gplv2)"
"Schranz Visuals Tool","Planning","windows","end-users-desktop","3d-rendering/display/realtime-processing/sound-audio/special-effects","English/Spanish","c#","directx/win32-(ms-windows)","2013-03-19","gnu-general-public-license-version-2.0-(gplv2)"
"Simple Linux Backup","Beta","linux","end-users-desktop","backup","French/Turkish","java/unix-shell","gnome/java-swt","2013-04-11","gnu-general-public-license-version-2.0-(gplv2)"
"Simple PHP WebCam","Beta","linux/mac/windows","end-users-desktop","dynamic-content/video-capture","English","php","web-based","2013-03-19","gnu-general-public-license-version-2.0-(gplv2)"
"Star Sudoku","Beta","linux/mac/windows","end-users-desktop","board-games/puzzle-games","English","java","java-swing","2015-08-04","mozilla-public-license-1.1-(mpl-1.1)"
"Subbee","Alpha","linux/mac/windows","advanced-end-users/end-users-desktop","text-processing","English","java","java-swt","2013-03-20","eclipse-public-license/gnu-general-public-license-version-2.0-(gplv2)"
"SunshineUN","Beta","windows","end-users-desktop","napster","English/German","c/c++","win32-(ms-windows)","2013-04-01","gnu-general-public-license-version-2.0-(gplv2)"
"Synching Thunder","Beta","linux/mac/windows","end-users-desktop","email","English","java","java-swing","2013-04-09","bsd-license"
"TR Game Engine","Pre-Alpha","linux/mac/windows","developers","animation/data-formats/game-development-framework","English/French","java","java-swing","2014-03-22","gnu-general-public-license-version-3.0-(gplv3)"
"TROPICS","Beta","bsd/linux/windows","education/engineering/science-research","physics/simulations","English/Russian","c/c++","console-terminal/qt","2018-08-31","gnu-general-public-license-version-2.0-(gplv2)"
"TV Tycoon","Alpha","windows","other-audience","real-time-strategy","English/Spanish","delphi-kylix/pascal","win32-(ms-windows)","2013-03-22","gnu-general-public-license-version-2.0-(gplv2)"
"Taklamaran","Beta","linux/windows","advanced-end-users/developers/end-users-desktop","animation/editors/special-effects","English","c++","gnome/qt/win32-(ms-windows)/x-window-system-(x11)","2015-02-27","apache-license-v2.0/gnu-general-public-license-version-2.0-(gplv2)"
"Telnet Com Port Control daemon","Beta","bsd/linux","system-administrators","communications/internet","English","c","non-interactive-(daemon)","2014-03-05","apache-software-license"
"The 64 bit Virtual CPU Project","Alpha","bsd/linux","developers/manufacturing","emulators","English","basic/c","kde","2013-03-21","gnu-general-public-license-version-2.0-(gplv2)"
"The Fusion Project","Beta","windows","advanced-end-users/developers/system-administrators","multi-user-dungeons-(mud)/role-playing","English","delphi-kylix","win32-(ms-windows)","2013-04-19","gnu-general-public-license-version-2.0-(gplv2)"
"Torrent Torque","Alpha","windows","end-users-desktop","bittorrent","English","delphi-kylix","win32-(ms-windows)","2016-09-12","gnu-general-public-license-version-2.0-(gplv2)"
"Travian VN Clone script T3 - 2013","Inactive","linux/mac/windows","developers/education/non-profit-organizations","html-xhtml/multiplayer/testing","English","javascript/php","web-based","2013-11-15","gnu-general-public-license-version-3.0-(gplv3)"
"Trip on the Funny Boat","Beta","linux/mac/windows","end-users-desktop","side-scrolling-arcade-games","English","python","sdl","2013-04-19","gnu-general-public-license-version-2.0-(gplv2)"
"TrojanCockroach","Beta","windows","advanced-end-users/developers/education/security-professionals","security","English","c++","command-line","2017-05-29","mit-license"
